strain,sex,animal_id,study,treatment,days_post_infection,bw_d0,bw_d3,bw_d6,bw_d8,bw_d9,bw_d10,bw_d11,bw_d12,bw_d13,bw_d14,bw_d17,bw_d20,bw_d23,bw_d26,clin_score_d0,clin_score_d3,clin_score_d6,clin_score_d8,clin_score_d9,clin_score_d10,clin_score_d11,clin_score_d12,clin_score_d13,clin_score_d14,clin_score_d17,clin_score_d20,clin_score_d23,clin_score_d26,CD4_brain_d7,CD4_brain_d12,CD4_brain_d21,CD4_brain_d28,CD4_spleen_d7,CD4_spleen_d12,CD4_spleen_d21,CD4_spleen_d28,Treg_brain_d7,Treg_brain_d12,Treg_brain_d21,Treg_brain_d28,Treg_spleen_d7,Treg_spleen_d12,Treg_spleen_d21,Treg_spleen_d28,CD8_brain_d7,CD8_brain_d12,CD8_brain_d21,CD8_brain_d28,CD8_spleen_d7,CD8_spleen_d12,CD8_spleen_d21,CD8_spleen_d28,NS4b_brain_d7,NS4b_brain_d12,NS4b_brain_d21,NS4b_brain_d28,NS4b_spleen_d7,NS4b_spleen_d12,NS4b_spleen_d21,NS4b_spleen_d28,WNV_IgM_d7,WNV_IgM_d12,WNV_IgM_d21,WNV_IgM_d28,WNV_brain_d4,WNV_brain_d7,WNV_brain_d12,WNV_kidney_d2,WNV_kidney_d4,WNV_kidney_d7,WNV_kidney_d12,WNV_spleen_d2,WNV_spleen_d4,WNV_spleen_d7,WNV_spleen_d12,Ifnb1_brain_d4,Ifnb1_brain_d7,Ifnb1_brain_d12,Ifnb1_kidney_d2,Ifnb1_kidney_d4,Ifnb1_kidney_d7,Ifnb1_kidney_d12,Ifnb1_spleen_d2,Ifnb1_spleen_d4,Ifnb1_spleen_d7,Ifnb1_spleen_d12,Ifit1_brain_d4,Ifit1_brain_d7,Ifit1_brain_d12,Ifit1_kidney_d2,Ifit1_kidney_d4,Ifit1_kidney_d7,Ifit1_kidney_d12,Ifit1_spleen_d2,Ifit1_spleen_d4,Ifit1_spleen_d7,Ifit1_spleen_d12
RIX:CC(024 x 023),m,315,innate,WNV,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.3203773,,,,2.799387154,,,,17.67670701,,,45.98562105,,,,1.023610329,,,,0.617376706,,,32.43669638,,,,5.125405026,,,,10.9215923,
RIX:CC(024 x 023),m,320,innate,WNV,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30630.17718,,,,2.382081723,,,,0.645181358,,,291.0698436,,,,0.493002555,,,,0.654843873,,,260.5750006,,,,2.617157413,,,,3.756932572
RIX:CC(041 x 012),m,119,adaptive,WNV,7,28.22,27.86,28.88,,,,,,,,,,,,0,0,0,,,,,,,,,,,,31.8,,,,48.5,,,,22.2,,,,11.9,,,,43.9,,,,44.2,,,,4.62,,,,1.22,,,,42.83066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,133,adaptive,WNV,7,24.23,24.84,25.12,,,,,,,,,,,,0,0,0,,,,,,,,,,,,38.2,,,,49.4,,,,11.4,,,,9.8,,,,40.1,,,,45.5,,,,6.02,,,,0.538,,,,46.46558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,134,adaptive,WNV,7,26.37,26.36,26.84,,,,,,,,,,,,0,0,0,,,,,,,,,,,,35.1,,,,53,,,,26.7,,,,10.5,,,,43.6,,,,42.1,,,,2.44,,,,0.804,,,,35.42946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,120b,adaptive,WNV,12,30.39,30.57,29.63,30.01,30.32,30.48,29.64,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,49.9,,,,48,,,,15.7,,,,8.26,,,,35.7,,,,46.8,,,,6.32,,,,0.489,,,,19.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,135,adaptive,WNV,12,20.7,20.63,20.88,21.04,20.99,20.41,21.16,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,31.2,,,,48.4,,,,21.2,,,,8.78,,,,28.4,,,,47.1,,,,6.45,,,,0.527,,,,28.92492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,136,adaptive,WNV,12,26.17,26.89,25.83,26.24,26.86,26.65,26.72,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,45.4,,,,47.2,,,,22.1,,,,8.6,,,,42.6,,,,47.2,,,,10.3,,,,0.785,,,,19.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,140b,adaptive,WNV,21,25.23,25.52,26.82,26.06,26.03,25.74,,25.78,25.17,26.27,26.29,26,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,39.1,,,,45.7,,,,19.4,,,,7.5,,,,49.9,,,,43.9,,,,2.13,,,,0.212,,,,18.81975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,141b,adaptive,WNV,21,25.06,25.78,26.18,25.83,25.62,25.14,,26.05,25.03,25.62,25.8,25.25,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,33.8,,,,31.5,,,,13.5,,,,12.3,,,,46.2,,,,48.9,,,,3,,,,0.0478,,,,23.26285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,142b,adaptive,WNV,21,25.74,25.69,25.95,25.85,25.73,24.86,,24.8,26.11,25.6,24.93,24.99,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,26.4,,,,24.9,,,,15.5,,,,8.39,,,,59.5,,,,62.2,,,,2.36,,,,0.112,,,,32.92146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,125b,adaptive,WNV,28,25.03,26.59,24.63,24.82,24.68,25.05,25.17,25.11,25.43,25.88,25.12,25.76,24.67,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,29,,,,46,,,,13.1,,,,7.44,,,,53.8,,,,46.6,,,,3.37,,,,0.157,,,,20.77008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,126,adaptive,WNV,28,24.06,24.96,23.98,23.96,23.86,24.05,23.92,24.31,24.67,24.67,23.82,24.69,25.28,25.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,24.4,,,,47,,,,22.4,,,,6.85,,,,49.7,,,,45.7,,,,6.25,,,,0.205,,,,25.58435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,127,adaptive,WNV,28,26.61,23.74,26.3,26.49,27.75,27.69,27.88,27.49,28.27,28.2,27.1,28.27,28.84,28.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,22,,,,50.7,,,,18.9,,,,4.81,,,,58.7,,,,41.4,,,,5.65,,,,0.23,,,,24.26236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(041 x 012),m,302,innate,WNV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997231251,,,,292.3505622,,,,,,,19.00973699,,,,0.836310807,,,,,,,4.936539257,,,,47.64765584,,,
RIX:CC(041 x 012),m,307,innate,WNV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673772445,,,,1.137079664,,,,75.16556616,,,0.255469368,,,,3.002851921,,,,0.436483796,,,8.479622267,,,,15.86563472,,,,20.59024211,,
RIX:CC(041 x 012),m,312,innate,WNV,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666290035,,,,1.377450046,,,,11.60672372,,,0.274248485,,,,0.649694471,,,,0.163723502,,,1.274069912,,,,1.599550639,,,,1.634293011,
RIX:CC(041 x 012),m,317,innate,WNV,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816140188,,,,0.979420298,,,,6.426351974,,,1.25353302,,,,1.403796034,,,,0.244987115,,,1.432409949,,,,2.087100396,,,,1.441373718

