strain,sex,animal_id,study,treatment,days_post_infection,bw_d0,bw_d3,bw_d6,bw_d8,bw_d9,bw_d10,bw_d11,bw_d12,bw_d13,bw_d14,bw_d17,bw_d20,bw_d23,bw_d26,clin_score_d0,clin_score_d3,clin_score_d6,clin_score_d8,clin_score_d9,clin_score_d10,clin_score_d11,clin_score_d12,clin_score_d13,clin_score_d14,clin_score_d17,clin_score_d20,clin_score_d23,clin_score_d26,CD4_brain_d7,CD4_brain_d12,CD4_brain_d21,CD4_brain_d28,CD4_spleen_d7,CD4_spleen_d12,CD4_spleen_d21,CD4_spleen_d28,Treg_brain_d7,Treg_brain_d12,Treg_brain_d21,Treg_brain_d28,Treg_spleen_d7,Treg_spleen_d12,Treg_spleen_d21,Treg_spleen_d28,CD8_brain_d7,CD8_brain_d12,CD8_brain_d21,CD8_brain_d28,CD8_spleen_d7,CD8_spleen_d12,CD8_spleen_d21,CD8_spleen_d28,NS4b_brain_d7,NS4b_brain_d12,NS4b_brain_d21,NS4b_brain_d28,NS4b_spleen_d7,NS4b_spleen_d12,NS4b_spleen_d21,NS4b_spleen_d28,WNV_IgM_d7,WNV_IgM_d12,WNV_IgM_d21,WNV_IgM_d28,WNV_brain_d4,WNV_brain_d7,WNV_brain_d12,WNV_kidney_d2,WNV_kidney_d4,WNV_kidney_d7,WNV_kidney_d12,WNV_spleen_d2,WNV_spleen_d4,WNV_spleen_d7,WNV_spleen_d12,Ifnb1_brain_d4,Ifnb1_brain_d7,Ifnb1_brain_d12,Ifnb1_kidney_d2,Ifnb1_kidney_d4,Ifnb1_kidney_d7,Ifnb1_kidney_d12,Ifnb1_spleen_d2,Ifnb1_spleen_d4,Ifnb1_spleen_d7,Ifnb1_spleen_d12,Ifit1_brain_d4,Ifit1_brain_d7,Ifit1_brain_d12,Ifit1_kidney_d2,Ifit1_kidney_d4,Ifit1_kidney_d7,Ifit1_kidney_d12,Ifit1_spleen_d2,Ifit1_spleen_d4,Ifit1_spleen_d7,Ifit1_spleen_d12
RIX:CC(004 x 011),m,180,adaptive,WNV,28,29.03,30.48,29.26,29.76,29.73,29.61,29.75,29.76,30.18,29.89,30.48,30.53,30.25,31.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,48.4,,,,47.5,,,,11,,,,11.6,,,,35.9,,,,33.4,,,,28.8,,,,1.52,,,,14.48117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,301,innate,WNV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.782291176,,,,77.4813725,,,,,,,1.117975413,,,,0.828680924,,,,,,,18.91626179,,,,59.44793943,,,
RIX:CC(004 x 011),m,306,innate,WNV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021484269,,,,3.587000882,,,,118.0928691,,,0.621957998,,,,5.004102068,,,,2.02495295,,,19.20989083,,,,23.27969343,,,,57.10100942,,
RIX:CC(004 x 011),m,311,innate,WNV,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.539718568,,,,2.599478746,,,,22.66403942,,,2.637187148,,,,1.36089495,,,,0.607003742,,,7.085046841,,,,5.690061542,,,,15.15091586,
RIX:CC(004 x 011),m,316,innate,WNV,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.67265792,,,,0.765189428,,,,1.296140601,,,19.98560829,,,,0.408478803,,,,1.430646101,,,37.48159992,,,,2.217429877,,,,1.531086041
RIX:CC(005 x 001),m,166,adaptive,WNV,7,25.2,24.6,25.48,,,,,,,,,,,,0,0,0,,,,,,,,,,,,27,,,,,,,,11.3,,,,,,,,56.6,,,,,,,,2.91,,,,,,,,40.2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,170,adaptive,WNV,7,21.78,20.96,21.54,,,,,,,,,,,,0,0,0,,,,,,,,,,,,29.9,,,,,,,,4.78,,,,,,,,57.1,,,,,,,,1.02,,,,,,,,42.68922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,171,adaptive,WNV,7,23.89,23.08,23.69,,,,,,,,,,,,0,0,0,,,,,,,,,,,,35.1,,,,,,,,8.2,,,,,,,,49,,,,,,,,5.41,,,,,,,,36.37736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,151,adaptive,WNV,12,26.79,,26.96,25.7,,,,,,,,,,,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,152,adaptive,WNV,12,24.43,,24.23,24.94,24.78,24.83,24.91,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,28.5,,,,,,,,3.08,,,,,,,,58.5,,,,,,,,4.73,,,,,,,,67.11761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,172,adaptive,WNV,12,25.27,,25.92,24.04,22.96,22.12,21.26,,,,,,,,0,0,0,1,1,1,1,,,,,,,,,21,,,,,,,,5.75,,,,,,,,67.8,,,,,,,,6.95,,,,,,,,30.76712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,123,adaptive,WNV,21,26.43,26.81,25.99,26.32,26.64,25.49,25.38,24.74,24.7,25.15,25.31,25.48,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.9,,,,,,,,35.6,,,,,,,,69.5,,,,,,,,4.96,,,,,,,,29.61356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,124,adaptive,WNV,21,24.52,24.85,25.11,26.48,27.13,27,26.86,25.92,25.46,26.86,25.36,25.85,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.777,,,,,,,,27.6,,,,,,,,1.19,,,,,,,,38.5,,,,,,,,31.15412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,125,adaptive,WNV,21,23.94,24.11,24.12,23.44,22.86,22.38,22.22,,,,,,,,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,27,adaptive,WNV,28,27.48,28.45,28.3,25.51,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,28,adaptive,WNV,28,26.66,27.05,27.9,28.1,27.5,26.37,25.53,24.87,25.01,,,,,,0,0,0,0,0,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,32,adaptive,WNV,28,23.61,23.68,24.34,22.86,22.02,21.24,20.76,20.89,20.82,21.06,22.11,23.56,23.71,25.25,0,0,0,0,0,1,1,1,1,1,0,0,0,0,,,,24.1,,,,,,,,17.8,,,,,,,,59.5,,,,,,,,6.16,,,,,,,,28.66659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(005 x 001),m,303,innate,WNV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874245764,,,,56.74151351,,,,,,,2.092008081,,,,5.180568607,,,,,,,16.57316484,,,,24.57295548,,,
RIX:CC(005 x 001),m,308,innate,WNV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71224517,,,,14.24888818,,,,105.0063675,,,0.605696536,,,,10.40832958,,,,0.906052296,,,10.45654176,,,,20.8937507,,,,11.40908038,,
RIX:CC(005 x 001),m,313,innate,WNV,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.58790674,,,,3.155787115,,,,6.088600603,,,2.032454463,,,,2.706114179,,,,0.99869171,,,6.875937577,,,,3.484347432,,,,2.893868269,
RIX:CC(005 x 001),m,318,innate,WNV,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62019.95731,,,,6.876462825,,,,13.15514608,,,1614.145792,,,,4.413731028,,,,0.600170656,,,218.140135,,,,6.027944424,,,,3.407652115
RIX:CC(017 x 004),m,40,adaptive,WNV,7,26.54,27.03,26.89,,,,,,,,,,,,0,0,0,,,,,,,,,,,,27.9,,,,,,,,17.8,,,,,,,,23.7,,,,,,,,2.91,,,,,,,,42.41136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,41,adaptive,WNV,7,26.07,26.14,26.1,,,,,,,,,,,,0,0,0,,,,,,,,,,,,9.97,,,,,,,,2.24,,,,,,,,4.25,,,,,,,,3.28,,,,,,,,46.06651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,66,adaptive,WNV,7,25.81,25.2,25.04,,,,,,,,,,,,0,0,0,,,,,,,,,,,,21.1,,,,,,,,8.1,,,,,,,,9.34,,,,,,,,7.41,,,,,,,,77.88188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,84,adaptive,WNV,12,24.37,24.14,25.03,24.94,25.06,25.42,24.92,25.95,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,36.2,,,,,,,,8.98,,,,,,,,32.8,,,,,,,,10.3,,,,,,,,31.65859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,87,adaptive,WNV,12,22.97,22.95,24,23.92,23.34,23.61,23.93,25.17,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,11.8,,,,,,,,0.806,,,,,,,,7.49,,,,,,,,3.7,,,,,,,,30.97779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,89,adaptive,WNV,12,22.69,22.53,24.08,23.58,24.33,24.24,24.07,24.43,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,23.7,,,,,,,,18.7,,,,,,,,20.7,,,,,,,,2.06,,,,,,,,32.40393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,75,adaptive,WNV,21,24.62,25.07,25.23,25.43,25.21,26.39,26.78,26.71,26.84,27.71,27.31,28,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.2,,,,,,,,3.85,,,,,,,,15,,,,,,,,2.17,,,,,,,,23.44465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,76,adaptive,WNV,21,25.65,25.29,25.96,26.27,25.95,25.86,26.38,26.18,26.52,26.7,26.96,26.83,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,38.1,,,,,,,,5.71,,,,,,,,35.9,,,,,,,,5,,,,,,,,57.41084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,77,adaptive,WNV,21,24.43,24.35,24.14,24.1,24.37,24.41,24.63,24.83,24.7,25.13,25.2,25.86,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.01,,,,,,,,1.94,,,,,,,,0.925,,,,,,,,0,,,,,,,,25.96117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,98,adaptive,WNV,28,25.57,25.77,26.23,26.85,27.52,27.77,27.85,,27.48,27.74,27.8,28.38,28.7,29.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,67,,,,,,,,15.9,,,,,,,,10.3,,,,,,,,6.06,,,,,,,,24.78062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,99,adaptive,WNV,28,23.71,23.82,24.92,25.06,25.1,25.46,25.42,,25.88,25.72,26.08,26.04,26.4,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,50.2,,,,,,,,19.6,,,,,,,,6.81,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,100,adaptive,WNV,28,26.31,26.45,27.17,28.42,27.68,27.82,27.77,,28.69,28.76,28,28.45,28.82,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,57.9,,,,,,,,19,,,,,,,,6.02,,,,,,,,0,,,,,,,,24.50146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(017 x 004),m,304,innate,WNV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.87065806,,,,44.98723993,,,,,,,2.766699952,,,,0.819573233,,,,,,,13.23160847,,,,40.15324592,,,
RIX:CC(017 x 004),m,309,innate,WNV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69086285,,,,15.79430924,,,,95.48634339,,,1.256432436,,,,0.744236795,,,,0.707025402,,,7.138172465,,,,15.76423935,,,,29.84786515,,
RIX:CC(017 x 004),m,314,innate,WNV,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.942675316,,,,5.488834709,,,,3.696658247,,,1.6012753,,,,0.226277807,,,,0.335113707,,,1.320829187,,,,1.973263784,,,,3.905629754,
RIX:CC(017 x 004),m,319,innate,WNV,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.106472817,,,,39.84057927,,,,1.397108663,,,4.772239805,,,,1.522913431,,,,0.443822706,,,2.23750134,,,,1.731573255,,,,1.456325623
RIX:CC(024 x 023),m,143,adaptive,WNV,7,28.3,29.66,30.22,,,,,,,,,,,,0,0,0,,,,,,,,,,,,38.5,,,,,,,,22,,,,,,,,29,,,,,,,,4.31,,,,,,,,17.94437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,144,adaptive,WNV,7,29.38,28.61,28.84,,,,,,,,,,,,0,0,0,,,,,,,,,,,,48.7,,,,,,,,7.39,,,,,,,,28.8,,,,,,,,6.67,,,,,,,,27.83368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,145,adaptive,WNV,7,29.95,29.46,29.61,,,,,,,,,,,,0,0,0,,,,,,,,,,,,54.7,,,,,,,,14.2,,,,,,,,25.3,,,,,,,,0,,,,,,,,16.70909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(024 x 023),m,64,adaptive,WNV,12,25.46,25.86,24.57,22.38,21.27,20.81,19.85,,,,,,,,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
